Tanggal,Meninggal,Sembuh,Self Isolation,Masih Perawatan,Total Pasien,Positif Harian,Positif Aktif,Sembuh Harian,Tanpa Gejala,Bergejala,Belum Ada Data,Meninggal Harian
01/01/2021 ,3308,166512,10082,5789,185691,1956,15871,1631,7785,6572,1514,21
02/01/2021 ,3334,168781,10872,4599,187586,1895,15471,2269,8034,6168,1269,26
03/01/2021 ,3345,170510,10978,4410,189243,1657,15388,1729,8035,6104,1249,11
04/01/2021 ,3369,173036,10371,4299,191075,1832,14670,2526,7364,6234,1072,24
05/01/2021 ,3392,174131,10897,4479,192899,1824,15376,1095,6820,6139,2417,23
06/01/2021 ,3410,175441,12196,4254,195301,2402,16450,1310,8688,7762,0,18
07/01/2021 ,3435,176882,12781,4601,197699,2398,17382,1441,7848,8006,1528,25
08/01/2021 ,3463,179562,13397,4236,200658,2959,17633,2680,7272,8628,1733,28
09/01/2021 ,3485,181613,13076,5237,203411,2753,18313,2051,6781,9628,1904,22
10/01/2021 ,3517,184576,13166,4863,206122,2711,18029,2963,6284,9914,1831,32
11/01/2021 ,3551,187086,13541,4405,208583,2461,17946,2510,5180,9246,3520,34
12/01/2021 ,3589,188675,14591,4397,211252,2669,18988,1589,6861,10618,1509,38
13/01/2021 ,3634,191635,15009,4450,214728,3476,19459,2960,6757,10186,2516,45
14/01/2021 ,3675,193719,15852,4647,217893,3165,20499,2084,5878,10055,4566,41
15/01/2021 ,3710,195924,15553,5247,220434,2541,20800,2205,5182,9366,6252,35
16/01/2021 ,3745,198136,17524,4565,223970,3536,22089,2212,6820,13159,2110,35
17/01/2021 ,3779,201907,16741,4938,227365,3395,21679,3771,7281,12302,2096,34
18/01/2021 ,3815,204711,16419,4781,229726,2361,21200,2804,7379,12474,1347,36
19/01/2021 ,3836,209238,14604,4611,232289,2563,19215,4527,7929,11280,6,21
20/01/2021 ,3868,210983,16389,4835,236075,3786,21224,1745,7496,12015,1713,32
21/01/2021 ,3900,213570,16966,4790,239226,3151,21756,2587,8865,10856,2035,32
22/01/2021 ,3940,215719,17752,5607,243018,3792,23359,2149,9171,11421,2767,40
23/01/2021 ,3980,219287,18657,4379,246303,3285,23036,3568,7706,10272,5058,40
24/01/2021 ,4024,221567,19554,4670,249815,3512,24224,2280,8723,13240,2261,44
25/01/2021 ,4063,224071,19869,4263,252266,2451,24132,2504,8589,14100,1443,39
26/01/2021 ,4108,227010,19432,4030,254580,2314,23462,2939,8165,13551,1746,45
27/01/2021 ,4134,229981,18528,3773,256416,1836,22301,2971,7212,13819,1270,26
28/01/2021 ,4185,232701,18473,3946,259305,2889,22419,2720,6806,13859,1754,51
29/01/2021 ,4224,235140,19381,4008,262753,3448,23389,2439,6741,14531,2117,39
30/01/2021 ,4254,238395,20539,3056,266244,3491,23595,3255,7498,13874,2223,30
31/01/2021 ,4267,242069,19272,4110,269718,3474,23382,3674,8724,12104,2554,13
01/02/2021 ,4337,244202,19824,4969,273332,3614,24793,2133,8474,11274,5045,70
02/02/2021 ,4379,248515,18925,4875,276694,3362,23800,4313,6725,10372,6703,42
03/02/2021 ,4420,249810,21863,4168,280261,3567,26031,1295,9409,14435,2187,41
04/02/2021 ,4461,254155,20419,4858,283893,3632,25277,4345,7759,12670,4848,41
05/02/2021 ,4502,256702,21191,4838,287233,3340,26029,2547,9050,15663,1316,41
06/02/2021 ,4541,261027,19325,4719,289612,2379,24044,4325,7093,15579,1372,39
07/02/2021 ,4587,265369,17958,5911,293825,4213,23869,4342,5882,15947,2040,46
08/02/2021 ,4631,268785,17766,5787,296969,3144,23553,3416,4966,14527,4060,44
09/02/2021 ,4681,271573,18174,5978,300406,3437,24152,2788,4266,13500,6386,50
10/02/2021 ,4725,274817,16676,7497,303715,3309,24173,3244,3260,12165,8748,44
11/02/2021 ,4748,278822,14119,8540,306229,2514,22659,4005,2149,11293,9217,23
12/02/2021 ,4798,284579,10774,9888,310039,3810,20662,5757,683,8683,11296,50
13/02/2021 ,4850,289189,9644,9374,313057,3018,19018,4610,672,7586,10760,52
14/02/2021 ,4895,293538,9017,8103,315553,2496,17120,4349,1587,7605,7928,45
15/02/2021 ,4940,295623,8881,7988,317432,1879,16869,2085,3876,11955,1038,45
16/02/2021 ,4987,297695,9042,7569,319293,1861,16611,2072,3419,10799,2393,47
17/02/2021 ,5026,299795,8467,7450,320738,1445,15917,2100,2770,9442,3705,39
18/02/2021 ,5044,302451,7067,6549,321111,373,13616,2656,3272,10070,274,18
19/02/2021 ,5081,304995,7323,5632,323031,1920,12955,2544,2840,8527,1588,37
20/02/2021 ,5121,307759,7165,5858,325903,2872,13023,2764,2589,8729,1705,40
21/02/2021 ,5172,310412,7137,5902,328623,2720,13039,2653,1673,7851,3515,51
22/02/2021 ,5206,312748,7528,5612,331094,2471,13140,2336,1156,6465,5519,34
23/02/2021 ,5248,314563,7126,4939,331876,782,12065,1815,605,5070,6390,42
24/02/2021 ,5301,317003,6008,4346,332658,782,10354,2440,75,3217,7062,53
25/02/2021 ,5346,319326,5499,4068,334239,1581,9567,2323,2476,4621,2470,45
26/02/2021 ,5385,321038,5560,3917,335900,1661,9477,1712,1684,3764,4029,39
27/02/2021 ,5439,322285,5885,4028,337637,1737,9913,1247,825,3628,5460,54
28/02/2021 ,5478,323892,5940,4425,339735,2098,10365,1607,161,3263,6941,39
01/03/2021 ,5528,326509,5891,3865,341793,2058,9756,2617,2380,6023,1353,50
02/03/2021 ,5568,328526,5072,3205,342371,578,8277,2017,1581,4543,2153,40
03/03/2021 ,5613,331016,3742,3437,343808,1437,7179,2490,671,3358,3150,45
04/03/2021 ,5657,332758,3940,3461,345816,2008,7401,1742,650,2614,4137,44
05/03/2021 ,5702,334100,4026,3147,346975,1159,7173,1342,376,2138,4659,45
06/03/2021 ,5748,335617,4228,2998,348591,1616,7226,1517,384,2191,4651,46
07/03/2021 ,5790,337426,4194,3015,350425,1834,7209,1809,1409,3661,2139,42
08/03/2021 ,5838,338931,4494,2945,352208,1783,7439,1505,2448,4991,0,48
09/03/2021 ,5883,340587,3856,2749,353075,867,6605,1656,1892,4186,527,45
10/03/2021 ,5923,341398,3691,3103,354115,1040,6794,811,1573,3787,1434,40
11/03/2021 ,5943,342306,4253,3367,355869,1754,7620,908,1577,4749,1294,20
12/03/2021 ,5969,343351,4670,3752,357742,1873,8422,1045,1186,4729,2507,26
13/03/2021 ,5991,345202,4226,3357,358776,1034,7583,1851,1670,5243,670,22
14/03/2021 ,6026,347210,3443,3301,359980,1204,6744,2008,1195,4071,1478,35
15/03/2021 ,6038,349002,3485,3010,361535,1555,6495,1792,1272,4142,1081,12
16/03/2021 ,6062,350561,2996,2751,362370,835,5747,1559,832,3301,1614,24
17/03/2021 ,6077,351680,2907,3036,363700,1330,5943,1119,573,2972,2398,15
18/03/2021 ,6100,352827,3273,3219,365419,1719,6492,1147,246,2705,3541,23
19/03/2021 ,6120,354036,3483,3368,367007,1588,6851,1209,1150,4749,952,20
20/03/2021 ,6143,355221,3894,3686,368944,1937,7580,1185,831,4635,2114,23
21/03/2021 ,6160,357100,3859,3463,370582,1638,7322,1879,551,3608,3163,17
22/03/2021 ,6179,358826,3775,3276,372056,1474,7051,1726,1404,4804,843,19
23/03/2021 ,6206,360479,3107,3079,372871,815,6186,1653,934,3766,1486,27
24/03/2021 ,6224,362248,2650,2639,373761,890,5289,1769,595,2663,2031,18
25/03/2021 ,6241,362975,3222,3049,375487,1726,6271,727,536,2664,3071,17
26/03/2021 ,6260,363599,3629,3380,376868,1381,7009,624,1476,4650,883,19
27/03/2021 ,6281,364251,3932,3758,378222,1354,7690,652,1269,4639,1782,21
28/03/2021 ,6304,365592,3966,3830,379692,1470,7796,1341,906,4259,2631,23
29/03/2021 ,6324,366615,4034,3733,380706,1014,7767,1023,1697,5326,744,20
30/03/2021 ,6327,367819,3419,3525,381090,384,6944,1204,1250,4576,1118,3
31/03/2021 ,6341,369007,3028,3679,382055,965,6707,1188,1005,3961,1741,14
01/04/2021 ,6344,369929,3447,3672,383392,1337,7119,922,705,4175,2239,3
02/04/2021 ,6351,371254,3433,3594,384632,1240,7027,1325,1069,5153,805,7
03/04/2021 ,6356,372494,3317,3563,385730,1098,6880,1240,727,4644,1509,5
04/04/2021 ,6360,373565,3149,3392,386466,736,6541,1071,443,4112,1986,4
05/04/2021 ,6372,374542,2771,3304,386989,523,6075,977,310,3452,2313,12
06/04/2021 ,6379,375080,2705,3312,387476,487,6017,538,177,3184,2656,7
07/04/2021 ,6391,375651,2814,3482,388338,862,6296,571,868,4884,544,12
08/04/2021 ,6410,376270,3244,3653,389577,1239,6897,619,882,4700,1315,19
09/04/2021 ,6424,376959,3506,3701,390590,1013,7207,689,2071,4551,585,14
10/04/2021 ,6435,377797,3716,3619,391567,977,7335,838,1890,4165,1280,11
11/04/2021 ,6450,379210,3617,3321,392598,1031,6938,1413,939,4107,1892,15
12/04/2021 ,6459,380560,3324,2947,393290,692,6271,1350,1973,3777,521,9
13/04/2021 ,6482,381449,3326,2861,394118,828,6187,889,1902,3467,818,23
14/04/2021 ,6489,382091,3338,2861,394779,661,6199,642,1780,3178,1241,7
15/04/2021 ,6504,382617,3921,3067,396109,1330,6988,526,5357,745,886,15
16/04/2021 ,6513,383655,3607,3313,397088,979,6920,1038,1042,4370,1508,9
17/04/2021 ,6520,384652,3512,3441,398125,1037,6953,997,3509,1306,2138,7
18/04/2021 ,6536,385615,3313,3611,399075,950,6924,963,305,1481,5138,16
19/04/2021 ,6558,386606,3218,3666,400048,973,6884,991,2401,3843,640,22
20/04/2021 ,6569,387507,2945,3487,400508,460,6432,901,1593,3908,931,11
21/04/2021 ,6587,388083,2954,3486,401110,602,6440,576,1179,3865,1396,18
22/04/2021 ,6596,388735,3497,3548,402376,1266,7045,652,1136,5043,866,9
23/04/2021 ,6612,389445,3584,3619,403260,884,7203,710,872,4778,1553,16
24/04/2021 ,6623,390334,3563,3647,404167,907,7210,889,697,4296,2217,11
25/04/2021 ,6645,391301,3399,3718,405063,896,7117,967,1329,5213,575,22
26/04/2021 ,6660,392595,3152,3405,405812,749,6557,1294,1112,4478,967,15
27/04/2021 ,6679,393205,2999,3322,406205,393,6321,610,1327,4760,234,19
28/04/2021 ,6690,393814,2950,3390,406844,639,6340,609,1208,4391,741,11
29/04/2021 ,6710,394403,3308,3410,407831,987,6718,589,1012,4320,1386,20
30/04/2021 ,6733,394939,3421,3527,408620,789,6948,536,1209,5210,529,23
01/05/2021 ,6747,395644,3533,3622,409546,926,7155,705,1039,4940,1176,14
02/05/2021 ,6767,396594,3450,3589,410400,854,7039,950,842,4574,1623,20
03/05/2021 ,6788,397349,3483,3537,411157,757,7020,755,1349,5473,198,21
04/05/2021 ,6807,397955,3247,3564,411573,416,6811,606,1182,5158,471,19
05/05/2021 ,6830,398610,3240,3738,412418,845,6978,655,1102,4909,967,23
06/05/2021 ,6850,399224,3406,3843,413323,905,7249,614,1172,5489,588,20
07/05/2021 ,6872,399821,3485,3928,414106,783,7413,597,1131,5192,1090,22
08/05/2021 ,6896,400403,3569,3970,414838,732,7539,582,947,5022,1570,24
09/05/2021 ,6911,401114,3648,3974,415647,809,7622,711,836,4763,2023,15
10/05/2021 ,6933,401744,3723,3941,416341,694,7664,630,1482,5810,372,22
11/05/2021 ,6952,402374,3490,3931,416747,406,7421,630,1340,5531,550,19
12/05/2021 ,6973,403039,3402,3989,417403,656,7391,665,1176,5298,917,21
