Tanggal,jumlah_test_antigen_harian,jumlah_antigen_positif,jumlah_antigen_negatif,positivity_rate_harian_antigen,jumlah_test_antibody_harian,jumlah_antibody_Reaktif,jumlah_antibody_non_reaktif,positivity_rate_harian_antibody,jumlah_test_pcr_harian,jumlah_pcr_Positif,jumlah_pcr_negatif,positivity_rate_harian_pcr,target_vaksinasi,penyuntikan_dosis_1,penyuntikan_dosis_2,persentase_penyuntikan_dosis_1,persentase_penyuntikan_dosis_2,all_day_bing_tiles_visited_relative_change_jakarta_timur,all_day_ratio_single_tile_users_jakarta_timur,all_day_bing_tiles_visited_relative_change_jakarta_barat,all_day_ratio_single_tile_users_jakarta_barat,all_day_bing_tiles_visited_relative_change_jakarta_selatan,all_day_ratio_single_tile_users_jakarta_selatan,all_day_bing_tiles_visited_relative_change_jakarta_utara,all_day_ratio_single_tile_users_jakarta_utara ,all_day_bing_tiles_visited_relative_change_jakarta_pusat,all_day_ratio_single_tile_users_jakarta_pusat,all_day_bing_tiles_visited_relative_change_kep_seribu,all_day_ratio_single_tile_users_kep_seribu
1/1/2021,1192,76,1116,0.063758389261745,651405,33239,618166,0.05102662705997,9703,3273,6430,0.336,0,0,0,0,0,-0.37738,0.32095,-0.29621,0.29898,-0.36858,0.32475,-0.30181,0.30837,-0.29559,0.30393,0.13986,0.20462
1/2/2021,0,0,0,0,651505,33239,618266,0.051018794944014,15322,5195,10127,0.336,0,0,0,0,0,-0.28029,0.28389,-0.24842,0.27435,-0.30461,0.28693,-0.25514,0.28756,-0.29264,0.28029,0.22172,0.19466
1/3/2021,607,24,583,0.039538714991763,651605,33239,618366,0.051010965232004,12473,4153,8320,0.328,0,0,0,0,0,-0.27374,0.30815,-0.2511,0.29281,-0.30515,0.30915,-0.2536,0.30807,-0.29944,0.30104,0.10755,0.19465
1/4/2021,0,0,0,0,651705,33239,618466,0.051003137922833,21065,6074,14991,0.287,0,0,0,0,0,-0.25261,0.26482,-0.21586,0.24688,-0.28455,0.26983,-0.23306,0.26092,-0.27278,0.24977,0.19616,0.25198
1/5/2021,0,0,0,0,713443,37852,675591,0.053055394754732,21799,6628,15171,0.301,0,0,0,0,0,-0.25719,0.2716,-0.22927,0.25977,-0.28973,0.2765,-0.23911,0.26878,-0.28885,0.25899,-0.18983,0.28636
1/6/2021,0,0,0,0,713443,37852,675591,0.053055394754732,24637,7354,17283,0.297,0,0,0,0,0,-0.23393,0.27254,-0.17552,0.25842,-0.23768,0.27746,-0.16099,0.26693,-0.19895,0.25948,-0.1208,0.27144
1/7/2021,0,0,0,0,713443,37852,675591,0.053055394754732,22622,7163,15459,0.314,0,0,0,0,0,-0.24713,0.28785,-0.20392,0.27057,-0.25637,0.2879,-0.19837,0.28156,-0.24509,0.27486,-0.14642,0.29504
1/8/2021,1032,107,925,0.103682170542636,713443,37852,675591,0.053055394754732,23062,7184,15878,0.309,0,0,0,0,0,-0.24907,0.27479,-0.20596,0.2603,-0.26143,0.27847,-0.20037,0.27184,-0.24097,0.26106,-0.31991,0.27706
1/9/2021,0,0,0,0,713443,37852,675591,0.053055394754732,19890,6416,13474,0.322,0,0,0,0,0,-0.2713,0.30194,-0.25427,0.28499,-0.288,0.29738,-0.24058,0.29701,-0.27785,0.28573,-0.22291,0.27043
1/10/2021,0,0,0,0,713443,37852,675591,0.053055394754732,12390,4380,8010,0.351,0,0,0,0,0,-0.25955,0.29919,-0.26699,0.29287,-0.28515,0.29857,-0.26119,0.30417,-0.29437,0.29397,-0.16773,0.25018
